Employee_ID,Full_Name,Department,Job_Title,Email,Phone,Joining_Date,Location,Salary
1001,Employee 1,Finance,Analyst,employee1@example.com,9862901500,2020-01-21,Mumbai,65938
1002,Employee 2,Operations,Document Controller,employee2@example.com,9879230762,2020-02-10,Delhi,58922
1003,Employee 3,Finance,Specialist,employee3@example.com,9856061904,2020-03-01,Kolkata,68011
1004,Employee 4,IT,Specialist,employee4@example.com,9827321507,2020-03-21,Delhi,47007
1005,Employee 5,Admin,Document Controller,employee5@example.com,9857190791,2020-04-10,Delhi,47448
1006,Employee 6,HR,Specialist,employee6@example.com,9861330834,2020-04-30,Bengaluru,70180
1007,Employee 7,IT,Document Controller,employee7@example.com,9817296700,2020-05-20,Mumbai,25137
1008,Employee 8,HR,Analyst,employee8@example.com,9868448681,2020-06-09,Bengaluru,51606
1009,Employee 9,Operations,Specialist,employee9@example.com,9888541454,2020-06-29,Delhi,27100
1010,Employee 10,Operations,Coordinator,employee10@example.com,9815477240,2020-07-19,Delhi,37295
1011,Employee 11,HR,Analyst,employee11@example.com,9849693731,2020-08-08,Mumbai,62091
1012,Employee 12,Finance,Analyst,employee12@example.com,9814818649,2020-08-28,Mumbai,71502
1013,Employee 13,HR,Document Controller,employee13@example.com,9861125597,2020-09-17,Delhi,45132
1014,Employee 14,HR,Analyst,employee14@example.com,9888899991,2020-10-07,Delhi,48639
1015,Employee 15,Operations,Executive,employee15@example.com,9848591273,2020-10-27,Patna,76535
1016,Employee 16,Admin,Coordinator,employee16@example.com,9832838056,2020-11-16,Bengaluru,63655
1017,Employee 17,HR,Coordinator,employee17@example.com,9826377248,2020-12-06,Bengaluru,31884
1018,Employee 18,Admin,Document Controller,employee18@example.com,9859349823,2020-12-26,Mumbai,79495
1019,Employee 19,Finance,Coordinator,employee19@example.com,9884266295,2021-01-15,Mumbai,27043
1020,Employee 20,Admin,Document Controller,employee20@example.com,9894613798,2021-02-04,Bengaluru,65492
1021,Employee 21,HR,Analyst,employee21@example.com,9896130623,2021-02-24,Kolkata,30508
1022,Employee 22,HR,Coordinator,employee22@example.com,9810056943,2021-03-16,Mumbai,77475
1023,Employee 23,Operations,Executive,employee23@example.com,9863538131,2021-04-05,Delhi,59196
1024,Employee 24,Finance,Specialist,employee24@example.com,9833875717,2021-04-25,Mumbai,67518
1025,Employee 25,Admin,Coordinator,employee25@example.com,9879987940,2021-05-15,Patna,43301
1026,Employee 26,IT,Coordinator,employee26@example.com,9834387438,2021-06-04,Bengaluru,25063
1027,Employee 27,Admin,Document Controller,employee27@example.com,9876316780,2021-06-24,Mumbai,69990
1028,Employee 28,Operations,Document Controller,employee28@example.com,9844863882,2021-07-14,Delhi,68677
1029,Employee 29,IT,Analyst,employee29@example.com,9874722431,2021-08-03,Kolkata,70931
1030,Employee 30,IT,Document Controller,employee30@example.com,9875090045,2021-08-23,Delhi,79614
1031,Employee 31,Finance,Document Controller,employee31@example.com,9847833118,2021-09-12,Delhi,62651
1032,Employee 32,Finance,Analyst,employee32@example.com,9877542876,2021-10-02,Bengaluru,50072
1033,Employee 33,Admin,Document Controller,employee33@example.com,9823661370,2021-10-22,Patna,30048
1034,Employee 34,Admin,Analyst,employee34@example.com,9865642924,2021-11-11,Mumbai,45756
1035,Employee 35,IT,Document Controller,employee35@example.com,9845354123,2021-12-01,Delhi,70438
1036,Employee 36,Operations,Coordinator,employee36@example.com,9813277035,2021-12-21,Kolkata,45138
1037,Employee 37,Admin,Analyst,employee37@example.com,9836721541,2022-01-10,Delhi,37923
1038,Employee 38,HR,Coordinator,employee38@example.com,9892122452,2022-01-30,Kolkata,69111
1039,Employee 39,IT,Executive,employee39@example.com,9829658097,2022-02-19,Patna,31947
1040,Employee 40,Admin,Executive,employee40@example.com,9839549843,2022-03-11,Mumbai,67676
1041,Employee 41,Operations,Analyst,employee41@example.com,9876587291,2022-03-31,Patna,60706
1042,Employee 42,IT,Executive,employee42@example.com,9829556735,2022-04-20,Mumbai,26265
1043,Employee 43,Operations,Document Controller,employee43@example.com,9824503646,2022-05-10,Bengaluru,43611
1044,Employee 44,HR,Analyst,employee44@example.com,9879190597,2022-05-30,Delhi,42260
1045,Employee 45,Operations,Coordinator,employee45@example.com,9831708828,2022-06-19,Kolkata,26418
1046,Employee 46,HR,Analyst,employee46@example.com,9822698807,2022-07-09,Kolkata,54295
1047,Employee 47,IT,Specialist,employee47@example.com,9837324660,2022-07-29,Bengaluru,76280
1048,Employee 48,Admin,Specialist,employee48@example.com,9883638519,2022-08-18,Bengaluru,65653
1049,Employee 49,IT,Coordinator,employee49@example.com,9881464790,2022-09-07,Mumbai,42029
1050,Employee 50,Finance,Document Controller,employee50@example.com,9854963312,2022-09-27,Patna,76312
